Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2018-03-27,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-28,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-29,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-30,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-31,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-01,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-03,-,-,-,-,-,-,Green,-,Blue,Light stretching. Slept like butt,-,-,-,-,-,-,Green,-,-,-
2018-04-04,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-08,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-09,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-04-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-01,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-02,-,-,-,-,-,-,Green,-,Green,Lots of pallet destruction,-,-,-,-,-,-,Green,-,-,-
2021-04-03,-,-,-,-,-,-,Green,-,Red,Relaxing at the cabin,-,-,-,-,-,-,Green,-,-,-
2021-04-04,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-05,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-06,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-08,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-09,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-11,-,-,-,-,-,-,Green,-,Green,Steps and long walk,-,-,-,-,-,-,Green,-,-,-
2021-04-12,-,-,-,-,-,-,Green,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2021-04-13,-,-,-,-,-,-,Green,-,Green,Steps,-,-,-,-,-,-,Green,-,-,-
2021-04-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-17,-,-,-,-,-,-,Green,-,Green,Long walk to éclair to see Bradley,-,-,-,-,-,-,Green,-,-,-
2021-04-18,-,-,-,-,-,-,Green,-,Green,Walk with Yamina in LaSalle,-,-,-,-,-,-,Green,-,-,-
2021-04-19,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-04-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-04-21,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
5 push-ups",-,-,-,-,-,-,Green,-,-,-
2021-04-22,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
5 push-ups",-,-,-,-,-,-,Green,-,-,-
2021-04-23,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
7 push-ups",-,-,-,-,-,-,Green,-,-,-
2021-04-24,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-04-25,-,-,-,-,-,-,Green,-,Green,Heavy ass kneading,-,-,-,-,-,-,Green,-,-,-
